varenummer;navn;poeng;konklusjon;date;url_aperitif
8034504;Dr. Loosen Riesling Beerenauslese 2015;93;En superkonsentrert søtvin som tåler 20 år. Meget godt kjøp.;2014-årgang.                        Smakt 19. desember 2017;https://www.aperitif.no/pollisten/produkt/dr-loosen-riesling-beerenauslese-2015/2096208
10291101;Carlines Trémoulette Côtes du Jura 2016;93;En herlig og lovende vin som tåler 12 år. Meget godt kjøp.;2016-årgang.                        Smakt 17. juli 2018;https://www.aperitif.no/pollisten/produkt/carlines-tremoulette-cotes-du-jura-2016/2140225
10212001;Vocoret Chablis 1er Cru Les Vaillons Vieilles Vignes 2016;93;En flott og konsentrert chablis premier cru som tåler 12 år. Meget godt kjøp.;2016-årgang.                        Smakt 17. juli 2018;https://www.aperitif.no/pollisten/produkt/vocoret-chablis-1er-cru-les-vaillons-vieilles-vignes-2016/2130531
5724801;Nik Weis St. Urbans-Hof Bockstein Rsl Kab 2018;93;En lekker og kompleks kabinett som tåler 15 år. Meget godt kjøp.;2016-årgang.                        Smakt 14. desember 2018;https://www.aperitif.no/pollisten/produkt/nik-weis-st-urbans-hof-bockstein-rsl-kab-2018/87345
6508002;Graham's Quinta dos Malvedos Vintage 2012;93;En flott og lovende vintage som tåler 20 år minst - selv i halvflaskeformat. Meget godt kjøp.;2012-årgang.                        Smakt 27. oktober 2017;https://www.aperitif.no/pollisten/produkt/graham-s-quinta-dos-malvedos-vintage-2012/2086052
11369702;Sattlerhof Sauvignon Blanc Beerenauslese 2017;93;En intens og svært konsentrert søtvin som tåler 20 år. Godt kjøp.;2017-årgang.                        Smakt 16. september 2019;https://www.aperitif.no/pollisten/produkt/sattlerhof-sauvignon-blanc-beerenauslese-2017/2212266
3309102;Ca'Rugate Recioto di Soave La Perlara 2015;92;En nydelig dessertvin som tåler 10 år minst. Meget godt kjøp.;2015-årgang.                        Smakt 19. desember 2017;https://www.aperitif.no/pollisten/produkt/ca-rugate-recioto-di-soave-la-perlara-2015/1948426
3140304;Royal Tokaji Aszu Blue Label 5 Puttonyos 2013;92;En deilig tokayer som tåler 20 år minst. Meget godt kjøp.;2013-årgang.                        Smakt 15. mars 2018;https://www.aperitif.no/pollisten/produkt/royal-tokaji-aszu-blue-label-5-puttonyos-2013/1948378
3208701;Cascina Castelet Passum Barbera d'Asti Superiore 2016;92;En flott barbera med ekstra dybde og flott syrlighet som også bærer sine 15.5 prosent veldig godt. Tåler 10-15 år. Meget godt kjøp.;2016-årgang.                        Smakt  7. november 2018;https://www.aperitif.no/pollisten/produkt/cascina-castelet-passum-barbera-d-asti-superiore-2016/76872
2165201;Materne et Schmitt Koberner Riesling 2016;92;En imponerende og annerledes riesling som tåler 10 år. Meget godt kjøp.;2016-årgang.                        Smakt 12. juni 2018;https://www.aperitif.no/pollisten/produkt/materne-et-schmitt-koberner-riesling-2016/356033
2789101;Cascina Montagnola Morasso Colli Tortonesi Timorasso 2013;92;En imponerende vin som tåler 10+. Meget godt kjøp.;2011-årgang.                        Smakt  9. juli 2015;https://www.aperitif.no/pollisten/produkt/cascina-montagnola-morasso-colli-tortonesi-timorasso-2013/1950774
1003001;Barbero Bianco;92;En veldig god vermut.;Smakt 16. august 2017;https://www.aperitif.no/pollisten/produkt/barbero-bianco/68973
5764701;Silice Pouilly-Fumé 2017;92;En svært kompleks vin som tåler 6-7 år. Meget godt kjøp.;2014-årgang.                        Smakt 15. august 2016;https://www.aperitif.no/pollisten/produkt/silice-pouilly-fume-2017/85830
4626701;Castello di Querceto Chianti Classico Riserva 2014;92;En herlig vin som tåler 10 år. Meget godt kjøp.;2013-årgang.                        Smakt 15. februar 2017;https://www.aperitif.no/pollisten/produkt/castello-di-querceto-chianti-classico-riserva-2014/77833
3909601;Birichino Besson Grenache Old Vines 2013;92;En virkelig flott og konsentrert vin som tåler 12 år. Meget godt kjøp.;2013-årgang.                        Smakt  7. mars 2017;https://www.aperitif.no/pollisten/produkt/birichino-besson-grenache-old-vines-2013/2011577
3309102;Ca'Rugate Recioto di Soave La Perlara 2015;92;En nydelig dessertvin som tåler 10 år minst. Meget godt kjøp.;2015-årgang.                        Smakt 19. desember 2017;https://www.aperitif.no/pollisten/produkt/ca-rugate-recioto-di-soave-la-perlara-2015/1948426
3140304;Royal Tokaji Aszu Blue Label 5 Puttonyos 2013;92;En deilig tokayer som tåler 20 år minst. Meget godt kjøp.;2013-årgang.                        Smakt 15. mars 2018;https://www.aperitif.no/pollisten/produkt/royal-tokaji-aszu-blue-label-5-puttonyos-2013/1948378
3208701;Cascina Castelet Passum Barbera d'Asti Superiore 2016;92;En flott barbera med ekstra dybde og flott syrlighet som også bærer sine 15.5 prosent veldig godt. Tåler 10-15 år. Meget godt kjøp.;2016-årgang.                        Smakt  7. november 2018;https://www.aperitif.no/pollisten/produkt/cascina-castelet-passum-barbera-d-asti-superiore-2016/76872
3597001;Osborne Pedro Ximenez 1827;92;En  svært konsentrert og flott px. Ikke for klissete, men nok best i maten og ikke til maten, Tåler sikert 30+ men smaker godt allerede. Meget godt kjøp.;Smakt  4. januar 2016;https://www.aperitif.no/pollisten/produkt/osborne-pedro-ximenez-1827/1979516
3780501;Selbach-Oster Zeltinger Sonnenuhr Riesling Spät. Feinherb Ur Alte Reben 2015;92;En herlig konsentrert vin som tåler 20. Meget godt kjøp.;2014-årgang.                        Smakt 26. februar 2016;https://www.aperitif.no/pollisten/produkt/selbach-oster-zeltinger-sonnenuhr-riesling-spat-feinherb-ur-alte-reben-2015/1991531
3787801;Ch. Thivin Cuvée la Chapelle Côte de Brouilly 2018;92;En strålende gamay som tåler 10 år. Meget godt kjøp.;2018-årgang.                        Smakt 16. september 2019;https://www.aperitif.no/pollisten/produkt/ch-thivin-cuvee-la-chapelle-cote-de-brouilly-2018/1991584
2165201;Materne et Schmitt Koberner Riesling 2016;92;En imponerende og annerledes riesling som tåler 10 år. Meget godt kjøp.;2016-årgang.                        Smakt 12. juni 2018;https://www.aperitif.no/pollisten/produkt/materne-et-schmitt-koberner-riesling-2016/356033
1824802;Blandy's 10 Years Old Bual;92;En flott madeira. Meget godt kjøp.;Smakt 26. september 2016;https://www.aperitif.no/pollisten/produkt/blandy-s-10-years-old-bual/1947177
1677802;Dow`s Quinta do Bomfim Vintage 2006;92;En flott halvflaske vintage som tåler mange år fortsatt. Meget godt kjøp.;2006-årgang.                        Smakt  8. september 2017;https://www.aperitif.no/pollisten/produkt/dow-s-quinta-do-bomfim-vintage-2006/1946958
2789101;Cascina Montagnola Morasso Colli Tortonesi Timorasso 2013;92;En imponerende vin som tåler 10+. Meget godt kjøp.;2011-årgang.                        Smakt  9. juli 2015;https://www.aperitif.no/pollisten/produkt/cascina-montagnola-morasso-colli-tortonesi-timorasso-2013/1950774
1003001;Barbero Bianco;92;En veldig god vermut.;Smakt 16. august 2017;https://www.aperitif.no/pollisten/produkt/barbero-bianco/68973
1170101;Pomodolce Diletto Derthona Timorasso 2016;92;En virkelig flott vin som tåler 10 år. Meget godt kjøp.;2016-årgang.                        Smakt 12. juni 2018;https://www.aperitif.no/pollisten/produkt/pomodolce-diletto-derthona-timorasso-2016/1946485
1226301;Foradori Fontanasanta Manzoni Bianco 2018;92;En virkelig lekker utgave av denne vinen som tåler 10 år. Meget godt kjøp.;2018-årgang.                        Smakt 16. september 2019;https://www.aperitif.no/pollisten/produkt/foradori-fontanasanta-manzoni-bianco-2018/330295
1349602;Donnafugata Ben Ryé Passito di Pantelleria 2017;92;En deilig søtvin som tåler 20 år. Godt kjøp.;2016-årgang.                        Smakt 15. september 2018;https://www.aperitif.no/pollisten/produkt/donnafugata-ben-rye-passito-di-pantelleria-2017/1946659
895102;Lustau Oloroso Pata de Gallina;92;n strålende vin. Meget godt kjøp. ;Smakt 28. oktober 2013;https://www.aperitif.no/pollisten/produkt/lustau-oloroso-pata-de-gallina/1946261
779201;Karl May Geyersberg Riesling Trocken 2018;92;En rik og fyldig jordsmonnspreget riesling som tåler 10-12 år. Meget godt kjøp.;2017-årgang.                        Smakt  6. mai 2019;https://www.aperitif.no/pollisten/produkt/karl-may-geyersberg-riesling-trocken-2018/311206
620302;Gaia Vin Santo 2006;92;En veldig kul og kjøttfull sviskepreget vinsanto som holder nesten evig. Meget godt kjøp.;2008-årgang.                        Smakt 31. oktober 2019;https://www.aperitif.no/pollisten/produkt/gaia-vin-santo-2006/1946014
401701;Schatz H Acinipo 2010;92;En nydelig vin som tåler 8 år minst. Meget godt kjøp.;2010-årgang.                        Smakt 19. desember 2017;https://www.aperitif.no/pollisten/produkt/schatz-h-acinipo-2010/301661
477202;Ch. Guiraud Sauternes 2010;92;En flott sauternes som tåler 15 år. Meget godt kjøp.;2010-årgang.                        Smakt 27. oktober 2016;https://www.aperitif.no/pollisten/produkt/ch-guiraud-sauternes-2010/1945857
529401;Cornelissen Susucaru Rosato 2018;92;En herlig rose som tåler 5. Meget godt kjøp.;2014-årgang.                        Smakt 30. august 2015;https://www.aperitif.no/pollisten/produkt/cornelissen-susucaru-rosato-2018/303294
546602;Ariyanas Terruño Pizarroso 2008;92;En veldig kul søtvin som holder veldig lenge. Meget godt kjøp.;2008-årgang.                        Smakt  8. september 2017;https://www.aperitif.no/pollisten/produkt/ariyanas-terruno-pizarroso-2008/1969078
682702;Churchill's Dry White Port;92;En lekker hvit portvin. Meget godt kjøp.;Smakt 23. februar 2017;https://www.aperitif.no/pollisten/produkt/churchill-s-dry-white-port/2002569
7265301;Markus Molitor Wehlener Sonnenuhr Riesling Spätlese 2017;92;En flott og lovende spatlese som tåler 20 år. Meget godt kjøp.;2017-årgang.                        Smakt  2. mars 2019;https://www.aperitif.no/pollisten/produkt/markus-molitor-wehlener-sonnenuhr-riesling-spatlese-2017/2049870
7301101;Suertes del Marqués La Solana 2015;92;En veldig spennende og saftig vin som tåler 8 år. Meget godt kjøp.;2015-årgang.                        Smakt 24. august 2017;https://www.aperitif.no/pollisten/produkt/suertes-del-marques-la-solana-2015/2059578
7324302;Dom. de La Rectorie Banyuls 2015;92;En god og balansert søtvin hva sødme angår. Tåler sikker 10-15 år. Meget godt kjøp.;2013-årgang.                        Smakt 26. januar 2017;https://www.aperitif.no/pollisten/produkt/dom-de-la-rectorie-banyuls-2015/2049823
7324402;Dom. de La Rectorie Cuvée Pierre Rapidel Banyuls 2008;92;En flott banyuls som holder veldig lenge. Meget godt kjøp.;2006-årgang.                        Smakt 26. januar 2017;https://www.aperitif.no/pollisten/produkt/dom-de-la-rectorie-cuvee-pierre-rapidel-banyuls-2008/2049824
7649501;Dom. de L'Ecu Janus 2015;92;En lekker og veldig kul chardonnay fra Loire. Tåler 15 år. Meget godt kjøp.;2015-årgang.                        Smakt  7. mars 2017;https://www.aperitif.no/pollisten/produkt/dom-de-l-ecu-janus-2015/2060115
10661201;Schwedhelm Wotanfels Riesling Trocken 2018;92;En svært ung og lovende riesling som tåler 10 år. Meget godt kjøp.;2018-årgang.                        Smakt  6. juli 2019;https://www.aperitif.no/pollisten/produkt/schwedhelm-wotanfels-riesling-trocken-2018/2166217
5466101;Bod. Atamisque Catalpa Malbec 2017;92;En strålende argentinsk malbec som tåler 10 år. Meget godt kjøp.;2015-årgang.                        Smakt 12. juni 2018;https://www.aperitif.no/pollisten/produkt/bod-atamisque-catalpa-malbec-2017/2031067
10032601;Markus Molitor Zeltinger Sonnenuhr Riesling Spätlese 2017;92;En saltpreget og syrlig riesling som tåler 15 år. Meget godt kjøp.;2017-årgang.                        Smakt  2. mars 2019;https://www.aperitif.no/pollisten/produkt/markus-molitor-zeltinger-sonnenuhr-riesling-spatlese-2017/2119378
10032901;Markus Molitor Zeltinger Schlossberg Riesling Auslese* 2016;92;En svært ung vin som tåler 20 år. Meget godt kjøp.;2016-årgang.                        Smakt 15. mars 2018;https://www.aperitif.no/pollisten/produkt/markus-molitor-zeltinger-schlossberg-riesling-auslese-2016/2119365
10034901;Markus Molitor Ürziger Würzgarten Riesling Spätlese Tørr 2016;92;En nydelig slank men likevel svært konsentrert og lovende vin som tåler 15 år. Meget godt kjøp.;2016-årgang.                        Smakt 15. mars 2018;https://www.aperitif.no/pollisten/produkt/markus-molitor-urziger-wurzgarten-riesling-spatlese-torr-2016/2119361
10035101;Markus Molitor Ürziger Würzgarten Riesling Auslese** 2016;92;En flott vin som tåler 15 år. Meget godt kjøp.;2016-årgang.                        Smakt 15. mars 2018;https://www.aperitif.no/pollisten/produkt/markus-molitor-urziger-wurzgarten-riesling-auslese-2016/2119366
9927001;Nik Weis St. Urbans-Hof Wiltinger Alte Reben 2018;92;En aldeles herlig riesling med 10 prosent alkohol og imponerende mye smak for denne kategorien. Tåler 10 år. Minst. Meget godt kjøp.;2016-årgang.                        Smakt 14. desember 2018;https://www.aperitif.no/pollisten/produkt/nik-weis-st-urbans-hof-wiltinger-alte-reben-2018/315231
9408001;Marco de Bartoli Grappoli del Grillo 2017;92;En super og veldig spennende hvitvin som tåler 10 år. Meget godt kjøp.;2017-årgang.                        Smakt  6. mai 2019;https://www.aperitif.no/pollisten/produkt/marco-de-bartoli-grappoli-del-grillo-2017/312652
8067401;Villa Huesgen Alte Reben Riesling 2016;92;En svært konsentrert riesling som tåler 15 år. Meget godt kjøp.;2016-årgang.                        Smakt 15. januar 2018;https://www.aperitif.no/pollisten/produkt/villa-huesgen-alte-reben-riesling-2016/2096217
10291001;Carlines En Lya Côtes du Jura 2016;92;En flott og lovende vin som tåler 10 år. Minst. Meget godt kjøp.;2016-årgang.                        Smakt 17. juli 2018;https://www.aperitif.no/pollisten/produkt/carlines-en-lya-cotes-du-jura-2016/2140224
10291201;Carlines Le Calvaire Côtes du Jura 2016;92;En virkelig flott Jura som tåler 10 år. Meget godt kjøp.;2016-årgang.                        Smakt 17. juli 2018;https://www.aperitif.no/pollisten/produkt/carlines-le-calvaire-cotes-du-jura-2016/2140223
10413601;Karl May Riesling Morstein 2018;92;En rik og lovende konsentrert riesling som tåler 12 år. Meget godt kjøp.;2017-årgang.                        Smakt  6. mai 2019;https://www.aperitif.no/pollisten/produkt/karl-may-riesling-morstein-2018/2140437
10414601;Yohan Lardy Moulin-à-Vent Vieilles Vignes de 1903 2017;92;En veldig konsentrert gamay som bør lagres og som tåler 10 år. Meget godt kjøp.;2017-årgang.                        Smakt  6. juli 2019;https://www.aperitif.no/pollisten/produkt/yohan-lardy-moulin-a-vent-vieilles-vignes-de-1903-2017/2140285
10244801;Dom. Agapé Helios Gewurztraminer 2015;92;En veldig flott og konsentrert gewurz som tåler 12 år. Meget godt kjøp.;2015-årgang.                        Smakt 14. januar 2019;https://www.aperitif.no/pollisten/produkt/dom-agape-helios-gewurztraminer-2015/2141599
10274001;Dom. Vocoret Chablis 1er Cru Les Forets V.V.;92;En veldig konsentrert og rik chablis som tåler 10 år. Meget godt kjøp.;2016-årgang.                        Smakt 17. juli 2018;https://www.aperitif.no/pollisten/produkt/dom-vocoret-chablis-1er-cru-les-forets-v-v/2140523
10211601;Charly Nicolle Chablis Premier Cru Mont de Milieu;92;En lekker chablis som tåler 10 år. Meget godt kjøp.;2016-årgang.                        Smakt 12. juni 2018;https://www.aperitif.no/pollisten/produkt/charly-nicolle-chablis-premier-cru-mont-de-milieu/2130527
4626701;Castello di Querceto Chianti Classico Riserva 2014;92;En herlig vin som tåler 10 år. Meget godt kjøp.;2013-årgang.                        Smakt 15. februar 2017;https://www.aperitif.no/pollisten/produkt/castello-di-querceto-chianti-classico-riserva-2014/77833
3909601;Birichino Besson Grenache Old Vines 2013;92;En virkelig flott og konsentrert vin som tåler 12 år. Meget godt kjøp.;2013-årgang.                        Smakt  7. mars 2017;https://www.aperitif.no/pollisten/produkt/birichino-besson-grenache-old-vines-2013/2011577
5619202;Nectar Pedro Ximénez;92;En veldig kul og søt px. Godt kjøp.;Smakt  8. september 2017;https://www.aperitif.no/pollisten/produkt/nectar-pedro-ximenez/1949212
5657001;Weiser-Künstler Wolfer Sonnenlay Riesling Kabinett 2017;92;En herlig og kjøttfull ganske tørr kabinett som tåler 12 år. Meget godt kjøp.;2017-årgang.                        Smakt 14. desember 2018;https://www.aperitif.no/pollisten/produkt/weiser-kunstler-wolfer-sonnenlay-riesling-kabinett-2017/2031096
6390802;Fèlsina Vin Santo del Chianti Classico 2007;92;En god og ganske ungdommelig vin santo som holder i flere tiår. Godt kjøp.;2007-årgang.                        Smakt 16. september 2019;https://www.aperitif.no/pollisten/produkt/felsina-vin-santo-del-chianti-classico-2007/2031223
3597001;Osborne Pedro Ximenez 1827;92;En  svært konsentrert og flott px. Ikke for klissete, men nok best i maten og ikke til maten, Tåler sikert 30+ men smaker godt allerede. Meget godt kjøp.;Smakt  4. januar 2016;https://www.aperitif.no/pollisten/produkt/osborne-pedro-ximenez-1827/1979516
5764701;Silice Pouilly-Fumé 2017;92;En svært kompleks vin som tåler 6-7 år. Meget godt kjøp.;2014-årgang.                        Smakt 15. august 2016;https://www.aperitif.no/pollisten/produkt/silice-pouilly-fume-2017/85830
11171201;Dr. Crusius Steinberg GG 2018;92;En nydelig riesling som tåler 12 år. Meget godt kjøp.;2018-årgang.                        Smakt  6. juli 2019;https://www.aperitif.no/pollisten/produkt/dr-crusius-steinberg-gg-2018/2203278
11222201;Terracura Spesiale;92;En veldig kul og spennende chenin-stil som tåler 12 år. Meget godt kjøp.;2017-årgang.                        Smakt 16. september 2019;https://www.aperitif.no/pollisten/produkt/terracura-spesiale/2204214
11272602;Valverán 20 Manzanas Sidra de Hielo;92;En veldig kul ikke for søt issider. Tåler mange år. Uendelig.;2016-årgang.                        Smakt  6. juli 2019;https://www.aperitif.no/pollisten/produkt/valveran-20-manzanas-sidra-de-hielo/2203141
6821702;Sattlerhof Trockenbeerenauslese Morillon 2013;91;En god søt vin som tåler 10 år. Godt kjøp.;2013-årgang.                        Smakt 26. september 2016;https://www.aperitif.no/pollisten/produkt/sattlerhof-trockenbeerenauslese-morillon-2013/2031450
126501;La Spinona Barolo Sori Gepin 2009;91;En god og konsentrert barolo som tåler 10. Godt kjøp.;2009-årgang.                        Smakt 26. februar 2016;https://www.aperitif.no/pollisten/produkt/la-spinona-barolo-sori-gepin-2009/308722
3311201;Feudi di San Gregorio Taurasi 2013;91;En flott og lovende vin som tåler 10 år. Taxfreepris er 239 kroner. Meget godt kjøp.;2013-årgang.                        Smakt 19. mars 2019;https://www.aperitif.no/pollisten/produkt/feudi-di-san-gregorio-taurasi-2013/79232
3429301;Castillo Perelada Cava Gran Claustro Brut Nature Reserva 2013;91;En ganske kompleks cava som tåler 8 år. Meget godt kjøp.;2011-årgang.                        Smakt 15. september 2018;https://www.aperitif.no/pollisten/produkt/castillo-perelada-cava-gran-claustro-brut-nature-reserva-2013/89943
5483201;Terracura Smiley Red;91;En herlig rødvin med mye karakter og lett volatilt preg - så er du advart, men som er bedre enn forrige tapping og tåler 6-7 år. Meget godt kjøp.;Smakt 16. september 2019;https://www.aperitif.no/pollisten/produkt/terracura-smiley-red/2021421
5483301;Smiley Chenin Blanc;91;En litt mer volatil utgave enn før, men fortsatt en sørafrikaner i sin egen kategori. Tåler 5-6 år. Meget godt kjøp.;Smakt 16. september 2019;https://www.aperitif.no/pollisten/produkt/smiley-chenin-blanc/2021422
5335001;Schätzel Niersteiner ReinSchiefer Riesling 2017;91;En fruktig og mineralsk knusktørr riesling som tåler 5-6 år. Godt kjøp.;2017-årgang.                        Smakt 14. januar 2019;https://www.aperitif.no/pollisten/produkt/schatzel-niersteiner-reinschiefer-riesling-2017/300841
5417801;Mas Asturias Massuria Bierzo 2009;91;En herlig moden vin som likevel tåler 6-7 år til. Minst. Meget godt kjøp.;2009-årgang.                        Smakt 19. desember 2017;https://www.aperitif.no/pollisten/produkt/mas-asturias-massuria-bierzo-2009/2021136
5876702;Weinrieder Riesling Beerenauslese Schneiderberg 2013;91;En herlig søtvin som tåler 15 år. Meget godt kjøp.;2013-årgang.                        Smakt 26. januar 2017;https://www.aperitif.no/pollisten/produkt/weinrieder-riesling-beerenauslese-schneiderberg-2013/1949353
4762201;Schaefer Graacher Himmelreich Riesling Spätlese 2014;91;En usedvanlig tiltalende vin for de neste 15 årene. Meget godt kjøp. 91 p (2007) (Godbiter i pollisten - 03.12.09);Smakt 24. juni 2015;https://www.aperitif.no/pollisten/produkt/schaefer-graacher-himmelreich-riesling-spatlese-2014/87305
4850901;Ch. d'Aydie 2014;91;En flott og lovende madiran som tåler 10 år minst. Meget godt kjøp.;2012-årgang.                        Smakt 15. august 2017;https://www.aperitif.no/pollisten/produkt/ch-d-aydie-2014/1948875
4920801;Dom. de L'Ecu Gneiss Sèvre-et-Maine Muscadet 2015;91;En flott og lovende vin som tåler 10 år. Meget godt kjøp.;2015-årgang.                        Smakt  7. mars 2017;https://www.aperitif.no/pollisten/produkt/dom-de-l-ecu-gneiss-sevre-et-maine-muscadet-2015/2021010
3915801;Rall Cinsault;91;En nydelig innsmigrende og konsentrert vin som tåler 6-7 år. Meget godt kjøp.;2017-årgang.                        Smakt 17. juli 2018;https://www.aperitif.no/pollisten/produkt/rall-cinsault/2020956
5028001;Rocca di Castagnoli Poggio a'Frati Chianti Classico Riserva 2014;91;En herlig gammeldags chianti som tåler 10 år. Meget godt kjøp.;2014-årgang.                        Smakt 16. september 2019;https://www.aperitif.no/pollisten/produkt/rocca-di-castagnoli-poggio-a-frati-chianti-classico-riserva-2014/78225
5080901;Kientz Riesling Winzenberg Grand Cru 2013;91;En virkelig flott grand cru, syrlig og slank men også konsentrert, som tåler 8 år. Meget godt kjøp.;2013-årgang.                        Smakt 15. september 2018;https://www.aperitif.no/pollisten/produkt/kientz-riesling-winzenberg-grand-cru-2013/1948974
3311201;Feudi di San Gregorio Taurasi 2013;91;En flott og lovende vin som tåler 10 år. Taxfreepris er 239 kroner. Meget godt kjøp.;2013-årgang.                        Smakt 19. mars 2019;https://www.aperitif.no/pollisten/produkt/feudi-di-san-gregorio-taurasi-2013/79232
3429301;Castillo Perelada Cava Gran Claustro Brut Nature Reserva 2013;91;En ganske kompleks cava som tåler 8 år. Meget godt kjøp.;2011-årgang.                        Smakt 15. september 2018;https://www.aperitif.no/pollisten/produkt/castillo-perelada-cava-gran-claustro-brut-nature-reserva-2013/89943
3278801;Fontodi Chianti Classico 2016;91;En veldig ung og lovende chianti 10 år. Meget godt kjøp.;2016-årgang.                        Smakt  6. juli 2019;https://www.aperitif.no/pollisten/produkt/fontodi-chianti-classico-2016/77969
2857901;Felsina Chianti Classico Riserva 2016;91;En nydelig svært syrefrisk og kompleks chianti riserva som tåler 8 år. Minst. Meget godt kjøp.;2016-årgang.                        Smakt  6. mai 2019;https://www.aperitif.no/pollisten/produkt/felsina-chianti-classico-riserva-2016/2011542
